Nº emplazamiento,Ciudad,Dirección emplazamiento,Nombre Marketing,Foto del emplazamiento,Media (mes),Production (pro BlowUP),Precio total (mes),Precio total (14 Days),Protocolo (mes),Medidas (An x Al / m),,Medidas (m2),BU Person,Montaje,Desmontaje,Estado,Características,GTKC,GEO Ancho,GEO longitud
053851,Barcelona,,Aragó 295 / Roger de Llúria,,150000,19294.11,169294.11,131794.11,11272,34.55,19,656.45,"Ramon, Silvia",08/01/2018,01/15/2019,Inactivo,"- Excelente emplazamiento ubicado en la confluencia de la calle Aragó con Roger de Llúria. Totalmente frontal al tráfico de Aragó en dirección al Pº de Gracia y al tráfico de Roger de Llúria procedente del centro de la ciudad en dirección a la Diagonal. Zona de negocios, con numerosas oficinas de todo tipo de empresas. En las cercanias podemos encontrar multitud de locales de restauración y hoteles de todas las categorías.  
- ",97200,41.394190,2.166922
053291,Barcelona,,Diagonal / Balmes 167,,90000,22352.94,112352.94,89852.94,11272,45.68,17,776.56,"Ramon, Silvia",03/15/2018,03/31/2019,Inactivo,"- Emplazamiento esquinero en la calle Balmes esquina Paris, a escasos 20 m de la Avenida Diagonal.. Frontal al tráfico que baja por Balmes en dirección al centro de Barcelona y visible por el tráfico de Diagonal en dirección Plaza Francesc Macià Zona de negocios durante el dia y de ocio nocturno. En las immediaciones podemos encontrar infinidad de oficinas  de todo tipo de empresas, hoteles de todas las categorias,  una altísima oferta de restauración y tiendas de las marcas más comerciales . En la misma calle Balmes y en las calles colindantes podemos encontrar tambien numerosos locales de ocio nocturno.
-  El emplazamiento goza de altísimos volúmenes de tráfico rodado sobretodo en horas punta ya que se ubica en la confluencia de dos vias altamente transitadas. Asimismo goza de altos volúmenes de tráfico peatonal ya que es visible por los peatones que van de compras por la zona de Diagonal.
- ",64100,41.394790,2.155088
019381,Barcelona,,Dummy site 3,,1,0,1,1,0,10,10,100,"Raabe, Tim",01/01/2004,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
052581,Barcelona,Gran via de las corts catalanes 304,Gran via 304 / Plaza España,,95000,13294.11,108294.11,84544.11,11272,21,23,483,"Ramon, Silvia",03/01/2018,05/01/2018,Inactivo,"- Emplazamiento ubicado a unos 200 metros de la Plaza España. Frontal al tráfico procedente de Plaza España en dirección a Fira II / Gran Via II y Aeropuerto.
- Zona de negocios básicamente por su cercanía al recinto ferial de Plaza España. 
- En las inmediaciones podemos encontrar también gran número de hoteles y locales de restauración. En la misma Plaza España se ubica el Centro Comercial Las Arenas que atrae mucho público que va de compras. 
- Altísimos volúmenes de tráfico en la zona, dado que es la via principal de acceso al Aeropuerto de Barcelona. Estos volúmenes se incrementan en épocas de ferias tanto en Plaza España como en Fira II ya que es una via de acceso directo a ambos recintos feriales. 
- ",45200,41.372651,2.146266
053161,Barcelona,,Mallorca 299 / Bruc,,90000,12235.29,102235.29,79735.29,7014,25,19,475,"Ramon, Silvia",03/01/2018,09/01/2018,Inactivo,"- Excepcional emplazamiento ubicado en la confluencia de las calles Mallorca y Bruc, direccional al Pº de Gracia Zona de alto poder adquisitivo, financiera y de negocios, donde podemos encontrar infinidad de oficinas de todo tipo de negocios. Frontal al tráfico por los vehículos que circulan por la calle Mallorca en dirección a  la Estación de Sants, el Hospital Clinico y a la zona del Llobregat. Zona de abundantes atascos de tráfico en hora punta. En la zona podemos encontrar una gran oferta de restauración de alto nivel y numerosos hoteles dada su cercania al Pº de Gracia Dentro del triángulo de oro, Bruc  se encuentra a dos calles del  Pº de Gracia, con lo que goza de algunos de los privilegios de ésta, es una ubicación preferente para establecer negocios y para alojamientos turísticos. 
- ",29200,41.396706,2.166100
050101,Barcelona,,Pia Almoina - Catedral ,,225000,10588.24,235588.24,179338.24,7014,40,7.5,300,"Carranza, Laura",02/01/2018,06/30/2018,Inactivo,"- Extraordinario emplazamiento ubicado en el edificio de la Pia Almoina, justo al lado de la Catedral. El edificio es la sede del Museo Gaudí que en la actualidad alberga una colección única de este excepcional arquitecto, la cual atrae  numerosos visitantes tanto nacionales como internacionales. La Plaza de la Catedral es una de las zonas más visitadas de Barcelona, con más de un millón de turistas mensuales, sin contar los transeúntes locales. El emplazamiento se encuentra a escasos 50 metros de la zona centro y del Portal del Ángel, la calle más comercial de la ciudad. En la Plaza de la Catedral, se celebran numerosos eventos a lo largo del año, entre otros, el famoso Mercado de Santa Llúcia, que concentra una gran cantidad de visitantes.",0,41.384470,2.176409
,Barcelona,Pº Gracia 34,Pº Gracia 34,,0,0,0,0,0,15,15,225,,05/01/2018,09/30/2018,Inactivo,- ,0,41.390883,2.167007
051331,Barcelona,,Pº Gracia 47-49 / Aragó,,300000,31764.71,331764.71,256764.71,11272,57.1,21.9,1250.49,"Ramon, Silvia",09/01/2017,05/31/2018,Inactivo,"- El escaparate más prestigioso de Barcelona
- Haz que te miren y amplia tu imagen en 1250 m2 
- Conecta con tu audiencia en el cruce del prestigioso de Pº de Gracia con calle Aragón y haz que aumente el deseo de compra de los miles de turistas y locales que pasean por la zona.
- El Paseo de Gracia es la avenida más exclusiva de Barcelona. Conocida internacionalmente y donde todas las marcas de lujo están presentes: Chanel, Dior, Dolce Gabana, Gucci, Cartier, Ermenegildo Zegna, Hermès, Armani, Jimy Choo, Hugo Boss, entre muchas otras marcas.
- La combinación perfecta, lujo, compras y atracción cultural por sus asombrosos edificios considerados Patrimonio Mundial de la Humanidad. En el Pº de Gracia se encuentran los mejores edificios modernistas de Barcelona que la convierten en un museo al aire libre. Entre otros, se encuentran la famosa Pedrera, La Casa Batlló y la Casa Amatller.
- Zona de negocios donde se encuentran oficinas de los principales bancos internacionales, así como los hoteles más elegantes de la ciudad.
- ",97200,41.391981,2.164793
052081,Barcelona,,Rambla Catalunya / Aragó 266,,75000,6470.58,81470.58,62720.58,7014,10,21,210,"Ramon, Silvia",01/01/2018,04/30/2018,Inactivo,"- Emplazamiento ubicado en pleno centro de Barcelona,  en la confluencia de Rambla Catalunya con Aragón, a escasos 100 metros del Pº Gracia.
- Aragón goza de 6 carriles de tráfico con altos volúmenes de circulación sobretodo en horas punta. La zona goza también de un altísimo tráfico peatonal dado que
- Rambla Catalunya es una zona altamente comercial con infinidad de tiendas de moda y complementos.
- Rambla Catalunya también es bien conocida por su gran número de locales de restauración, sobre todo por la gran cantidad de terrazas que hay en toda la zona
- Zona turística dada su cercanía al Pº Gracia, donde se concentran la mayoría de los monumentos más emblemáticos de la ciudad y bien conocida por ser una zona de compras de alto standing rodeada de numerosos hoteles de lujo
- ",79200,41.391199,2.164012
050721,Barcelona,Mallorca 277,Road to Shop @PºGracia,,110000,20000,130000,102500,11272,35.3,19,670.7,"Ramon, Silvia",09/01/2018,02/28/2019,Inactivo,"- Excepcional emplazamiento ubicado en la confluencia de las calles Mallorca y Pau Claris, a escasos 50 metros del Pº de Gracia Zona de alto poder adquisitivo, financiera y de negocios, donde podemos encontrar infinidad de oficinas de todo tipo de negocios. Frontal al tráfico por los vehículos que circulan por la calle Mallorca en dirección a  la Estación de Sants, el Hospital Clinico y a la zona del Llobregat. Zona de abundantes atascos de tráfico en hora punta. En la zona podemos encontrar una gran oferta de restauración de alto nivel y numerosos hoteles dada su cercania al Pº de Gracia Dentro del triángulo de oro, Pau Claris es paralela al exclusivo Pº de Gracia, con lo que goza de algunos de los privilegios de ésta, es una ubicación preferente para establecer negocios y para alojamientos turísticos. ",35100,41.394969,2.163820
