Nº emplazamiento,Ciudad,Dirección emplazamiento,Nombre Marketing,Foto del emplazamiento,Media (mes),Production (pro BlowUP),Precio total (mes),Precio total (14 Days),Protocolo (mes),Medidas (An x Al / m),,Medidas (m2),BU Person,Montaje,Desmontaje,Estado,Características,GTKC,GEO Ancho,GEO longitud
050831,Barcelona,Ramblas 89,Boqueria @Rambla,,175000,13451,188451,144701,7014,29.47,15.3,450.891,"Ramon, Silvia",02/15/2017,12/15/2017,Inactivo,"- Espectacular emplazamiento en la misma entrada del emblemático Mercado de La Boquería, en la Rambla de Barcelona. 
- El conocido Mercado de La Boquería es un gran referente de la ciudad de obligada visita. Este famoso mercado recibe alrededor de 70 millones de visitas anuales entre los que podemos encontrar: los que van de compras, los que van a visitar este excepcional monumento arquitectónico y aquéllos que van a comer a los numerosos restaurantes que se encuentran dentro y en los alrededores  del recinto. 
- Más de 275.000 peatones al día circulan por las Ramblas, lo que garantiza un gran volumen de impactos. 
- Las Ramblas son sobradamente conocidas por su gran afluencia peatonal, tanto público nacional como internacional que pasea y es que Las Ramblas tienen una función relevante;  unir el centro de la ciudad, la Plaza Catalunya, con la zona de Colón y del Puerto
- Esta zona está viva de dia y no duerme mucho por las noches. La vida nocturna es vibrante  por ser una zona de copas, ocio y restauración muy famosa en la ciudad .
- ",0,41.381948,2.172341
019381,Barcelona,,Dummy site 3,,0,0,0,0,0,10,10,100,"Raabe, Tim",01/01/2004,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
049341,Barcelona,Via Laietana 36,Gateway Portal de l'Angel,,190000,30588.24,220588.24,170735.29,11272,52,25.5,1326,"Ramon, Silvia",07/15/2016,04/30/2017,Inactivo,"- Fantástico emplazamiento ubicado en Vía Laietana, en la plaza Antoni Maura, a escasos 50 m de la Catedral y del Mercado de Santa Caterina. Zona altamente frecuentada por un público básicamente internacional y por peatones que se dirigen a las cercanas zonas de compras. A escasos 50 m del emplazamiento encontramos el famosísimo Portal del Ángel, la calle comercial por excelencia de la ciudad de Barcelona. La Catedral de Barcelona, atrae aproximadamente alrededor de 27 millones de visitantes al año. Vía Laietana es una calle bien conocida de la ciudad, que discurre desde la zona centro, separando el Barrio del Born y el Barrio Gótico, hasta llegar al puerto.",60000,41.385752,2.176444
050531,Barcelona,Ramblas 100,La Rambla de Barcelona,,95000,5882.35,100882.35,77132.35,7014,12,14,168,"Ramon, Silvia",09/15/2017,12/31/2017,Inactivo,"- Este excepcional emplazamiento está ubicado en La Rambla de Barcelona, también conocida como Las Ramblas. Ubicado justo en frente de la entrada principal del famoso Mercado de la Boquería, uno de los iconos de la ciudad que atrae tanto a turistas como locales, y a escasos 20 m del Gran Teatre del Liceu. Las Ramblas son famosas por ser una de las calles peatonales más concurridas de la ciudad, atrayendo un público objetivo de lo más diverso, tanto nacional como internacional, que pasean por la zona para ir de compras o para tomarse una cerveza en alguno de los numerosos bares de los alrededores. Las Ramblas unen el centro de la ciudad, Plaza Catalunya, con el Monumento a Colón y la zona portuaria, y gozan de una vibrante vida nocturna gracias a los numerosos pubs, bares y restaurantes de la zona. Con más de 275.000 peatones diarios transitando por la zona, este emplazamiento es la plataforma perfecta para tu marca.",75000,41.382253,2.172552
051331,Barcelona,,Pº Gracia 47-49 / Aragó,,300000,31764.71,331764.71,256764.71,11272,57.1,21.9,1250.49,"Ramon, Silvia",09/01/2017,05/31/2018,Inactivo,"- El escaparate más prestigioso de Barcelona
- Haz que te miren y amplia tu imagen en 1250 m2 
- Conecta con tu audiencia en el cruce del prestigioso de Pº de Gracia con calle Aragón y haz que aumente el deseo de compra de los miles de turistas y locales que pasean por la zona.
- El Paseo de Gracia es la avenida más exclusiva de Barcelona. Conocida internacionalmente y donde todas las marcas de lujo están presentes: Chanel, Dior, Dolce Gabana, Gucci, Cartier, Ermenegildo Zegna, Hermès, Armani, Jimy Choo, Hugo Boss, entre muchas otras marcas.
- La combinación perfecta, lujo, compras y atracción cultural por sus asombrosos edificios considerados Patrimonio Mundial de la Humanidad. En el Pº de Gracia se encuentran los mejores edificios modernistas de Barcelona que la convierten en un museo al aire libre. Entre otros, se encuentran la famosa Pedrera, La Casa Batlló y la Casa Amatller.
- Zona de negocios donde se encuentran oficinas de los principales bancos internacionales, así como los hoteles más elegantes de la ciudad.
- ",97200,41.391981,2.164793
048941,Barcelona,,Ronda Universitat 18 - Pl. Catalunya,,95000,11764.71,106764.71,75514.71,7014,19.6,20.5,401.8,"Arrogante, Juanjo Martinez",11/01/2015,01/13/2017,Inactivo,"- Fantástico emplazamiento ubicado en el corazón de Barcelona, a escasos metros de la Plaza Catalunya. Esta atractiva superficie publicitaria es visible desde la Plaza Catalunya y también por los 5 carriles de tráfico rodado de Ronda Universitat. Dada su proximidad a la calle Pelayo y a la zona de compras del centro de la ciudad, el emplazamiento goza de altos volúmenes de tráfico peatonal. Altos volúmenes de tráfico rodado a lo largo del día con continuas retenciones. Se estima que alrededor de 2.250.000 personas pasan por el emplazamiento cada mes. Zona altamente turística dada su cercanía al famoso Pº Gracia, Las Ramblas y el Barrio Gótico.",75000,41.383793,2.168156
048221,Madrid,,Avenida de América 51 - Entrada Aeropuerto,,895769,53846,949615,725672.75,0,10,8,80,"Arrogante, Juanjo Martinez",09/01/2014,08/31/2019,Inactivo,- .,0,0.000000,0.000000
052851,Madrid,Calle Fuencarral 5,Calle Fuencarral 5,,30000,7294.12,37294.12,29794.12,4896,15,16,240,"Carranza, Laura",01/01/2017,03/31/2018,Inactivo,"- En la comercial calle de Fuencarral, lugar de excelencia para la gente joven de la capital debido a la gran cantidad de bares y lugares de moda.
- Perfecta visibilidad durante largo espacio de tiempo al tratarse de una calle peatonal. Alto tránsito peatonal, a escasos metros de la salida de metro de Gran Vía. En la calle y junto al emplazamiento se encuentran tiendas de las marcas más conocidas como Michael Kors, Diesel, Levi’s, El Ganso, Foot Locker ,L’Occitane Calzedonia, Tezenis y a tan solo 5 minutos andando del centro comercial de la Calle.
- ",0,0.000000,0.000000
051781,Madrid,,Gran Via 1,,250000,18823,268823,217500,13709,42,16,672,"Carranza, Laura",12/01/2017,07/31/2018,Perdido (otra razon),"- Emblemático emplazamiento en el número uno de La Gran Vía madrileña. 
- Visible frontalmente desde la calle Alcalá en subida dirección Plaza Callao. Más de 2.700.000  vehículos mensuales. 
- Tres carriles en cada sentido e importantes y continuas retenciones, que garantizan el contacto y visibilidad prolongada de la lona.  Alto tránsito peatonal. 
- Zona de oficinas e instituciones públicas, además de hoteles.  Junto al conocido edificio Metrópoli, Banco España, Cibeles.
- 
- ",93815,40.419233,-3.698198
052101,Madrid,,Gran Vía 16,,200000,21176.47,221176.47,168235.29,16065,43.75,18,787.5,"Carranza, Laura",09/01/2017,07/15/2018,Inactivo,"- Emplazamiento icónico ubicado en el número 16 de la famosa Gran Vía.
- Frontal al tráfico viniendo de Plaza Callao de camino a Plaza Cibeles. Frontal a la calle Virgen de los Peligros
- Alta densidad de tráfico tanto peatonal como rodado. 2.700.000 contactos mensuales
- El emplazamiento es visible desde los 3 carriles de tráfico de la Gran Via en ambas direcciones y también desde Virgen de los Peligros. La visibilidad está garantizada debido a su largo recorrido visual y a los númerosos atascos de la zona sobretodo en horas punta
- En los alrededores podemos encontrar numerosas oficinas, instituciones públicas y hoteles. El emplazamiento está muy cercano a Montera, Fuencarral, el edificio Metrópolis, el Banco de España y Cibeles
- ",75000,40.419829,-3.699513
