Nº emplazamiento,Ciudad,Dirección emplazamiento,Nombre Marketing,Foto del emplazamiento,Media (mes),Production (pro BlowUP),Precio total (mes),Precio total (14 Days),Protocolo (mes),Medidas (An x Al / m),,Medidas (m2),BU Person,Montaje,Desmontaje,Estado,Características,GTKC,GEO Ancho,GEO longitud
047511,Barcelona,Josep Tarradellas 120,Av. Sarria / Diagonal,,65000,14117.65,79117.65,62867.65,11272,18,30,540,"Ramon, Silvia",05/01/2015,06/30/2015,Inactivo,"- Emplazamiento ubicado en la confluencia de Av. Sarrià con Josep Tarradellas, a escasos metros de la Plaza Francesc Macià y de la Av. Diagonal  Zona alta de la ciudad, financiera y de negocios, donde se encuentran las oficinas centrales de numerosas compañías internacionales.  Av. Sarria acoge unos grandísimos volúmenes de tráfico, sobretodo de gente que se dirigen a sus puestos de trabajo o a la zona universitaria y el tráfico que sale de Barcelona por la Av. Diagonal. Cercano a la zona comercial de Francesc Macià, a dos edificios de El Corte Inglés  y al centro comercial Illa Diagonal En la zona podemos encontrar muchísmos locales de restauración ",50000,41.390896,2.144020
019381,Barcelona,,Dummy site 3,,0,0,0,0,0,10,10,100,"Raabe, Tim",01/01/2004,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
046411,Barcelona,,Passeig Colom 22,,60000,11764.71,71764.71,53400,7013.54,18,23,414,"Ramon, Silvia",09/01/2015,10/31/2015,Inactivo,"- Emplazamiento ubicado en la zona del Puerto de Barcelona, a escasos metros del monumento de Colón. A pocos metros de las Ramblas de Barcelona y justo en frente del centro de ocio Maremágnum y de las terminales de ferries y de cruceros Zona con una altísima afluencia turística dada que es un punto de llegadas / salidas por via marítima de la ciudad. Es también una zona de paso entre Ramblas / Colón y las playas de la Barceloneta y el Puerto Olímpico Zona de ociio nocturno tanto por la cercanía al Maremágnum como a los locales, bares y restaurantes de la zona de Puerto Olímpico",60000,41.377761,2.179063
048961,Barcelona,,Plaça Sant Josep Oriol 4 / Basilica Santa Maria del Pi,,45000,7467.05,52467.05,41217.05,4384,25,10,250,"Ramon, Silvia",11/01/2015,02/15/2016,Inactivo,"- Emplazamiento ubicado en la Plaza Sant Josep Oriol. Esta encantadora plaza se encuentra justo en la parte trasera de la Basilica de Santa Maria del Pi, una de las más bellas del Barrio Gótico y a pocos metros de Las Ramblas. Turistas y locales pasean por esta bohemia plaza, llena de terrazas y donde se concentran, sobretodo los fines de semanas, pintores, músicos y poetas que muestran sus creaciones a todo el que pasea por la zona Altísimo tráfico peatonal , tanto diurno como nocturno, al ser una zona que concentra muchísimos bares, cafés y restaurantes Zona altamente comercial por su cercanía a Portaferrissa y Portal del Angel. También es una zona de paso hacia la Catedral y las Ramblas",0,0.000000,0.000000
,Barcelona,Pº Gracia 21,Pº Gracia 21,,0,0,0,0,0,40,21,840,,11/01/2014,05/31/2015,Inactivo,- ,0,0.000000,0.000000
045261,Barcelona,,Pº Gracia 71,,90000,8235.29,98235.29,74735.29,7013.54,15,18,270,"Ramon, Silvia",11/01/2014,03/31/2015,Inactivo,"- Emplazamiento ubicado en la calle mas prestigiosa de la ciudad. Alta densidad de tráfico rodado y peatonal. Volúmen tráfico / mes: 2.340.000 vehículos. Zona altamente comercial donde se encuentran las mas prestigiosas marcas de lujo. Zona financiera donde se concentran oficinas de los principales bancos nacionales e internacionales, empresas aseguradoras, etc. y zona turística por excelencia dada su ubicación cercana a La Pedrera. ",78000,41.393501,2.156389
047641,Barcelona,Rambla Catalunya 63,Rambla Catalunya 63 - Aragó,,200000,20000,220000,170000,11272,34.3,18.8,644.84,"Ramon, Silvia",03/01/2015,07/31/2015,Inactivo,"- Emplazamiento Premium totalmente frontal al tráfico en la confluencia de Rambla Catalunya con la calle Aragón, en el bullicioso centro de la ciudad de Barcelona, en una de sus zonas más encantadoras Zona de altisima afluencia tanto de tráfico peatonal como rodado. Zona de grandes retenciones de tráfico en horas punta, las cuales garantizan la completa  visibilidad del emplazamiento a una distancia de más de 300 m por los 5 carriles de tráfico de la calle Aragó Zona altamente comercial donde se encuentran las butiques de las mas prestigiosas y reconocidas marcas del lujo del mundo . A escasos metros del Pº Gracia y muy cercano a Plaza Catalunya Zona financiera donde se concentran oficinas de los principales bancos nacionales e internacionales, empresas aseguradoras, etc. Zona altamente turista por su cercania a tiendas y reconocidos monumentos. La zona es también conocida por el gran número de terrazas en la calle donde se concentra muchisimo tráfico peatonal haciendo de este lugar un referente  de animado ambiente. ",100000,41.391068,2.163074
048941,Barcelona,,Ronda Universitat 18 - Pl. Catalunya,,95000,11764.71,106764.71,75514.71,7014,19.6,20.5,401.8,"Arrogante, Juanjo Martinez",11/01/2015,01/13/2017,Inactivo,"- Fantástico emplazamiento ubicado en el corazón de Barcelona, a escasos metros de la Plaza Catalunya. Esta atractiva superficie publicitaria es visible desde la Plaza Catalunya y también por los 5 carriles de tráfico rodado de Ronda Universitat. Dada su proximidad a la calle Pelayo y a la zona de compras del centro de la ciudad, el emplazamiento goza de altos volúmenes de tráfico peatonal. Altos volúmenes de tráfico rodado a lo largo del día con continuas retenciones. Se estima que alrededor de 2.250.000 personas pasan por el emplazamiento cada mes. Zona altamente turística dada su cercanía al famoso Pº Gracia, Las Ramblas y el Barrio Gótico.",75000,41.383793,2.168156
046881,Barcelona,,Santa Maria 18 / Fossar de les Moreres,,80000,12941,92941,72941,4383.9,27.05,15.6,421.98,"Ramon, Silvia",08/01/2014,05/31/2015,Inactivo,"- Emplazamiento Premium en el Born, una de las zonas más cool de la ciudad de Barcelona. Ubicado en el Fossar de les Moreres, zona de paso entre la Plaza de Santa Maria y el Paseo del Born El barrio del Born recibe más de 3.000.000 millones de visitantes al año que tienen como paso obligado el Fossar de les Moreres para acceder a la Basilica de Santa Maria del Mar, icono del gótico catalan. Es una de las zonas turísticas por excelencia de la ciudad ya que en ella se ubican numerosos monumentos, museos y tiendas de muy variados estilos y tendencias, donde predomina sobretodo la modernidad y un cierto aire de sofisticación El Born es el barrio mas in de la ciudad y ofrece una gran oferta de ocio y cultura: cientos de bares de copas, restaurantes de diseño, boutiquews unicas, galerias de arte, museos, parques, teatros... ",0,0.000000,0.000000
046671,Madrid,,Alcalá 73/Puerta de Alcalá,,125000,18823.52,143823.52,112573.52,9868.5,43.35,15.2,658.92,"Arrogante, Juanjo Martinez",10/15/2014,03/31/2015,Inactivo,"- En la conocida y emblemática calle Alcalá, junto  a la Puerta de Alcalá. Perfecta y garantizada visibilidad en ambas direcciones para el tráfico rodado debido a los atascos continuos y los semáforos, y también visible desde la Puerta de Alcalá para el peatonal. Junto a la parada de Metro de El Retiro y diferentes paradas de bus. Aproximadamente 100.000 vehículos diarios según fuente del Ayuntamiento de Madrid. Alto transito peatonal, lugar de reunión de madrileños y visita obligada para todos los turistas que visitan la capital. En el barrio Salamanca donde se concentran las tiendas y firmas más importantes de moda.  A escasos metros de la Puerta de Alcalá y frente al famoso Parque de El Retiro.",125000,40.420466,-3.687400
046801,Madrid,,Alcalá 94/Plaza de Felipe II,,96000,18824,114824,90824,9180,40,15,600,"Arrogante, Juanjo Martinez",03/01/2015,06/30/2015,Inactivo,"- En la conocida y emblemática calle Alcalá, junto  a la Avenida Felipe II. Perfecta y garantizada visibilidad para el tráfico rodado debido a los atascos continuos y los semáforos, y también visible desde el intercambiador de autobuses de Felipe II. Junto a la parada de Metro Goya y diferentes paradas de bus. Más de 30.000 vehículos diarios según fuente del Ayuntamiento de Madrid. Alto transito peatonal dada su cercanía a zonas de occio importantes de la capital. En el barrio Salamanca donde se concentran las tiendas y firmas más importantes de moda. A escasos metros de El Corte Inglés y de la Calle Goya Junto al Palacio de Deportes de la comuniA escasos metros de la Puerta de Alcalá y frente al famoso Parque de El Retiro.",350000,40.423903,-3.677394
