Nº emplazamiento,Ciudad,Dirección emplazamiento,Nombre Marketing,Foto del emplazamiento,Media (mes),Production (pro BlowUP),Precio total (mes),Precio total (14 Days),Protocolo (mes),Medidas (An x Al / m),,Medidas (m2),BU Person,Montaje,Desmontaje,Estado,Características,GTKC,GEO Ancho,GEO longitud
057541,Barcelona,,Aragón 225 / Balmes,,220000,0,220000,165000,0,41.2,21,865.2,"Ramon, Silvia",12/01/2020,12/31/2020,Inactivo,"- Este gran emplazamiento se encuentra en una de las avenidas más importantes de Barcelona y es perfectamente visible desde las transitadas calles de varios carriles que lo rodean.  Cerca de la Rambla Catalunya y del famoso Passeig de Gracia, una de las calles comerciales más famosas de la ciudad, atrae a un público de alto poder adquisitivo, con tiendas de lujo, como Calvin Klein o Adolfo Dominguez.  Próximo a la Universidad de Barcelona, este emplazamiento se convierte en un punto muy frecuentado también por el público más joven y también más consumista con tiendas y restaurantes propios de la edad. A su alrededor encontramos hoteles de lujo, Museos como el Modernista y teatros como el Coliseum, lo que hace de esta zona un entorno muy visitado por otro tipo de turismo de mayor nivel y con expectativas de compra y restauración más caros.  Zona especialmente frecuentada en las horas punta del día por el flujo de tráfico del paso a la arteria de la calle Aragón que atraviesa la ciudad y es la salida de la misma.
- ",134000,0.000000,0.000000
057361,Barcelona,,Aragón 299 / Roger de Llúria,,185000,204,185204,138954,11272,21,8,168,"Ramon, Silvia",12/01/2020,03/31/2021,Inactivo,"- Aragó 299 está situado en la intersección de calles altamente transitadas por el tráfico como Roger de Llúria y la propia Aragó que dan paso tanto como al área comercial de Paseo de Gracia, La Pedrera, como hacia el área de Diagonal. Sin duda, un lugar que no pasa desapercibido, tanto como para peatones como para conductores .Destacada área de negocios,  frecuentada por locales y famosos restaurantes, pero también punto señalado en el turismo, ya que su cercanía al shopping más exquisito y exclusivo de Barcelona como es el Paseo de Gracia, hacen de éste un lugar único y altamente frecuentado. El impacto en la audiencia es de alrededor de 100.000 vehículos al día con una audiencia de 5.236.107 impactos por mes",97200,41.394672,2.167767
054071,Barcelona,,Balmes 57,,110000,8941.17,118941.17,80191.17,7014,13.6,20,272,"Ramon, Silvia",10/01/2020,09/01/2021,Inactivo,"- Esta lona gigante se encuentra en una de las avenidas más importantes de Barcelona y es perfectamente visible desde las transitadas calles de varios carriles que pasan por el emplazamiento.  Cerca de la Rambla Catalunya y del famoso Passeig de Gracia, una de las calles comerciales más famosas de la ciudad, atrae a un público de alto poder adquisitivo, con tiendas de lujo, como Calvin Klein o Adolfo Dominguez.  Próximo a la Universidad de Barcelona, este emplazamiento se convierte en un punto muy frecuentado también por el público más joven y también más consumista con tiendas y restaurantes propios de la edad. A su alrededor encontramos hoteles de lujo, Museos como el Modernista y teatros como el Coliseum, lo que hace de esta zona un entorno muy visitado por otro tipo de turismo de mayor nivel y con expectativas de compra y restauración más caros.  Zona especialmente frecuentada en las horas punta del día por el flujo de tráfico del paso a la arteria de la calle Aragón que atraviesa la ciudad y es la salida de la misma hacia la N-II.",134000,41.389633,2.162076
019381,Barcelona,,Dummy site 3,,1,0,1,1,0,10,10,100,"Raabe, Tim",01/01/2004,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
056431,Barcelona,,Pelayo 28-30 / Balmes,,180000,15941.17,195941.17,150941.17,11272,25.1,18,451.8,"Ramon, Silvia",07/01/2020,10/31/2020,Inactivo,"- Pelayo 28-30, una de las calles más céntricas de Barcelona. Este emplazamiento actúa como anfitrión de todas las necesidades: lujosas tiendas de moda, lugares de interés cultural y exquisitos restaurantes. Durante todo el año, este emplazamiento está situado en uno de los barrios más céntricos, repleto de locales y turistas con ganas de comprar. Además, es conocida por ser una de las calles más comerciales de Barcelona. Su situación estratégica hace que sea un perfecto Hot Spot entre diferentes targets: La Universidad de Barcelona se encuentra a escasos metros, junto con su cercanía a Rambla Catalunya, por lo que el amplio abanico de targets es más que evidente. El Centro Comercial de Triangle, alberga marcas internacionales que no albergan el resto de ciudades españolas, por lo que es un referente nacional. La enorme variedad de restaurantes y hoteles que están en sus calles paralelas, atraen a un gran público de todas las edades, desde mayores hasta gente más joven. Se único y no pierdas esta prestigiosa y frecuentada calle a escasos 100m de Ramblas y Plaza Catalunya",60000,41.385639,2.166827
055081,Barcelona,,Pº Gracia 87,,280000,14470.58,294470.58,224470.58,11272,32.76,17,556.92,"Ramon, Silvia",11/01/2019,06/30/2020,Inactivo,"- Este Gran Formato posee una ubicación privilegiada en el distrito de Gracia, una de las calles comerciales más famosas de Barcelona, con un elegante estilo, similar a los Campos Elíseos de París. En la intersección del tráfico de Provença y el de Paseo de Gracia hacia Plaza Cataluña, este sitio único garantiza el impacto sobre los vehículos. Pero especialmente se caracteriza por su influencia peatonal, ya que a pocos metros se encuentran las tiendas de moda más lujosas de la ciudad, que atraen a una audiencia de alto poder adquisitivo, como Michael Kors, Dior y Hugo Boss, entre otros. Esta avenida es también zona de negocios y un lugar popular entre los turistas, pues consta de un valor patrimonial excepcional de arquitectura modernista, como la Casa Batlló o La Pedrera. Este blowUP es muy visible tanto de día como de noche, con animada vida nocturna, restaurantes y bares que atraen tanto a público joven como adulto.
- ",159500,41.394454,2.161680
054231,Barcelona,,Ramblas 134 / Pl. Catalunya,,140000,15764.7,155764.7,120764.7,11272,34,16,544,"Ramon, Silvia",03/01/2019,06/22/2020,Inactivo,"- Poco se puede añadir al hablar de esta localización ya que es internacionalmente conocida. Zona muy bulliciosa tanto de día como de noche, llena de turistas y lugareños que buscan pasear por la Rambla, observando las estatuas animadas que en ella se encuentran, o comprando algún recuerdo en los diferentes puntos de venta callejeros. Visible las 24 horas del día desde la Plaza Cataluña, por ser paso hacia la Puerta del Angel, la Barcelona más antigua, rodeada de Iglesias góticas como La Catedral,  tiendas variopintas que atraen a jóvenes y adultos de todas las clases y gustos, como Mango, H&M o Desigual, restaurantes y Mercados convertidos en pequeños puntos de degustación. Es una localización envidiable ya que reúne a un porcentaje muy elevado de turismo todas las estaciones del año. En calle privilegiada rodeada también de Palacios y Museos como el de Picasso y muy congestionada en cuanto a tráfico rodado.",290000,41.384916,2.170794
056281,Madrid,Alcalá 118,Alcalá 118,,130000,22117.64,152117.64,119617.64,10455,44,18,792,"Carranza, Laura",05/01/2020,12/31/2020,Inactivo,"- Esta lona se encuentra entre las calles más largas de Madrid. Muy frecuentada sobre todo en las horas punta, ya que es un paso hacia la M-30. Cerca de centros comerciales y tiendas como Zara, H&M o El Corte Inglés, lo convierten en una zona muy popular durante todo el día, tanto para jóvenes como para adultos. En las inmediaciones se encuentra la gran zona comercial de ""La Milla de Oro"", con tiendas exclusivas diseñadas para los bolsillos más exigentes, así como el parque del Retiro o las tiendas HandMade de marca España situadas en la cercana calle Hermosilla. Zona muy concurrida por la cercanía a la Plaza de las Ventas, una famosa plaza de toros, donde también se celebran conciertos y eventos deportivos o el Wizink Center, que atrae una gran afluencia de público semana tras semana. Bares y restaurantes contiguos abren hasta altas horas de la madrugada. ",80000,0.000000,0.000000
056701,Madrid,Calle Alcalá 125,Calle Alcalá 125,,160000,10329.41,170329.41,130329.41,5896,17,17,289,"Carranza, Laura",09/01/2020,02/28/2021,Inactivo,"- Esta lona se encuentra entre las calles más largas de Madrid. Muy frecuentada sobre todo en las horas punta, ya que es un paso hacia la M-30. Los semáforos situados delante de la obra garantizan una larga duración de la visita. Zona llena de tiendas y bares, sobre todo para los más jóvenes, lo convierten en una zona muy popular durante todo el día.  Es una zona muy concurrida durante los conciertos ya que queda muy cerca del famoso WiZink Center. Tanto jóvenes como adultos llenan los bares y restaurantes hasta altas horas de la madrugada. No lejos quedan las famosas galerías de El Corte Inglés, convirtiendo la zona en muy bulliciosa durante todo el día, por las tiendas que alberga para todos los gustos y edades. Cercano al famoso parque de El Retiro es, además, un barrio muy visitado por grupos de todas las edades.
- ",35000,0.000000,0.000000
056881,Madrid,Eloy Gonzalo 38,Eloy Gonzalo 38,,105000,11440,116440,90190,3386,22.85,17.95,410.1575,"Carranza, Laura",09/01/2020,12/31/2020,Inactivo,"- Emplazamiento situado en uno de los barrios residenciales más señoriales de la capital, Chamberí. Tu lona será muy visible por público de todas las edades ya que es un barrio que ha ido modernizándose con multitud de bares y restaurantes, en los que tanto jóvenes quienes hacen de la cercanas calles Ponzano, Almagro o Plaza de Olavide – su peregrinaje obligado de tapeo y buen comer- como por los más adultos quienes tienen su residencia habitual en este barrio.Su variada oferta cultural incluye desde los cines más emblemáticos de Madrid, los mejores teatros de la ciudad como los del Canal, Luchana o el Abadía. Sin olvidarnos del Museo Sorolla, uno de los más importantes de la ciudad. No lejos queda Anden 0 antigua estación de metro que alberga un museo de transporte, convirtiendo a la zona en muy transitada durante los fines de semana. Su cercanía a la calle Fuencarral o al barrio de Salamanca, no pasa desapercibida para los amantes de la moda, por lo que será visible las 24h del día.
- ",70000,0.000000,0.000000
