Nº emplazamiento,Ciudad,Dirección emplazamiento,Nombre Marketing,Foto del emplazamiento,Media (mes),Production (pro BlowUP),Precio total (mes),Precio total (14 Days),Protocolo (mes),Medidas (An x Al / m),,Medidas (m2),BU Person,Montaje,Desmontaje,Estado,Características,GTKC,GEO Ancho,GEO longitud
055431,Barcelona,, Aragón 264 / Rambla Catalunya,,180000,21705.88,201705.88,156705.88,7014,26.5,25,662.5,"Ramon, Silvia",07/01/2019,08/31/2019,Inactivo,"- Magnífica y espectacular zona, este emplazamiento está situado en el cruce de dos de las calles más importantes de Barcelona que garantizan un alto tráfico durante todo el día. Especialmente durante las horas punta, por aquí pasa un gran número de peatones y coches, ya que la calle es salida directa de la ciudad y paso hacia el Aeropuerto. Esta llamativa lona impresionará por su tamaño a gran escala y es visible para los 5 carriles de tráfico de vehículos de la calle Aragón. La Universidad y las famosas tiendas de moda como Calzedonia, Zara, Intimissimi o Levi's atraen a un grupo objetivo joven y afín a la marca. En las inmediaciones se encuentra el famoso Paseo de Gracia, donde se encuentran algunas de las tiendas más lujosas de la ciudad, que también atraerá al atractivo público de clase alta, con tiendas como Calvin Klein, Chanel y Versacce. Una variedad de restaurantes y el encanto histórico de esta zona animan el paisaje de la ciudad.",122300,41.391414,2.163919
053851,Barcelona,,Aragó 295 / Roger de Llúria,,150000,19294.11,169294.11,131794.11,11272,34.55,19,656.45,"Ramon, Silvia",08/01/2018,01/15/2019,Inactivo,"- Excelente emplazamiento ubicado en la confluencia de la calle Aragó con Roger de Llúria. Totalmente frontal al tráfico de Aragó en dirección al Pº de Gracia y al tráfico de Roger de Llúria procedente del centro de la ciudad en dirección a la Diagonal. Zona de negocios, con numerosas oficinas de todo tipo de empresas. En las cercanias podemos encontrar multitud de locales de restauración y hoteles de todas las categorías.  
- ",97200,41.394190,2.166922
053291,Barcelona,,Diagonal / Balmes 167,,90000,22352.94,112352.94,89852.94,11272,45.68,17,776.56,"Ramon, Silvia",03/15/2018,03/31/2019,Inactivo,"- Emplazamiento esquinero en la calle Balmes esquina Paris, a escasos 20 m de la Avenida Diagonal.. Frontal al tráfico que baja por Balmes en dirección al centro de Barcelona y visible por el tráfico de Diagonal en dirección Plaza Francesc Macià Zona de negocios durante el dia y de ocio nocturno. En las immediaciones podemos encontrar infinidad de oficinas  de todo tipo de empresas, hoteles de todas las categorias,  una altísima oferta de restauración y tiendas de las marcas más comerciales . En la misma calle Balmes y en las calles colindantes podemos encontrar tambien numerosos locales de ocio nocturno.
-  El emplazamiento goza de altísimos volúmenes de tráfico rodado sobretodo en horas punta ya que se ubica en la confluencia de dos vias altamente transitadas. Asimismo goza de altos volúmenes de tráfico peatonal ya que es visible por los peatones que van de compras por la zona de Diagonal.
- ",64100,41.394790,2.155088
054531,Barcelona,,Diagonal 399 / Rambla Catalunya,,130000,17529.41,147529.41,123382.35,11272,18.93,15,283.95,"Ramon, Silvia",02/01/2019,12/31/2019,Inactivo,"- En una de las calles más exclusivas de Barcelona, encontramos este emplazamiento visible desde Rambla Cataluña, y en una zona de congestión en cuanto a tráfico rodado, por ser una de las arterias de entrada y salida de la ciudad, en la confluencia de Rambla Cataluña y Diagonal. Barrio rodeado de tiendas exclusivas y restaurantes que hacen las delicias de jóvenes y adultos. En zona de negocios, lo que hace que haya un devenir de trabajadores, buscando un lugar para tomar un café, o comer rápidamente. Pero no sólo encontramos rapidez sino que al estar situado en una zona con varios jardines alrededor, como el de Salvador Espriu, la convierten en lugar muy transitado por peatones de todas las edades que buscan un momento de tranquilidad sentados en un banco del jardín, observando a los transeúntes o disfrutando de la maravilla de sus edificios históricos que se encuentran en esta calle. Zona muy visitada por los turistas, por sus tiendas lujosas, restaurantes  y edificios de Gaudi como la Pedrera.",45000,41.395489,2.156881
019381,Barcelona,,Dummy site 3,,1,0,1,1,0,10,10,100,"Raabe, Tim",01/01/2004,12/31/2026,Público nivel interno,- .,0,0.000000,0.000000
055421,Barcelona,,Gateway Rambla Catalunya,,600000,53470.58,653470.58,503470.58,18285.54,65.5,32.5,2128.75,"Ramon, Silvia",09/01/2019,11/30/2019,Inactivo,"- Este emplazamiento es visible desde múltiples ángulos, garantiza un contacto intenso y largos tiempos de visualización. El cruce de las calles Aragón y Rambla Catalunya, arterias de Barcelona, concentran gran tráfico rodado a lo largo del día, colapsado en horas punta. Zona de negocios y cercano a varios museos como la Fundació Antoni Tàpies, hacen de este barrio, zona de tránsito de turistas que vienen a la ciudad Condal a disfrutar de la cultura y el ocio que les ofrece. Emplazamiento situado junto a la Universidad, atrae también a un público joven, muy consumidor, con tiendas como Zara, Calzedonia o Intimissimi. Su vibrante vida nocturna y sus numerosos bares y restaurantes proporcionan un gran volumen de tráfico tanto de día como de noche.",222300,0.000000,0.000000
054781,Barcelona,,Gran Via Carles III 95 / Diagonal,,115000,31694.11,146694.11,117944.11,11272,47.3,26,1229.8,"Ramon, Silvia",04/15/2019,10/10/2019,Inactivo,"- Este emplazamiento está situado en la parte alta de Barcelona, uno de los barrios de mayor poder adquisitivo de la ciudad. La lona es perfectamente visible desde El Corte Inglés, concurrido Centro Comercial, que es la mayor cadena de grandes almacenes de Europa y que alberga tiendas de lujo como Bulgari, Louis Vuitton, Hermes y La Perla, que atraen a un público acaudalado. Cercano a la Universidad, y a otro pequeño centro comercial junto al de El Corte Inglés con tiendas famosas, como Clarks, Timberland, Tous y una variedad de bares, hacen de este enclave punto muy frecuentado, atrayendo a la multitud más joven de Barcelona. También es un centro de negocios con varias torres de oficinas cercanas, que garantizan un alto tráfico durante las horas punta del día. Durante los partidos de fútbol, el Estadio Camp Nou atrae un gran volumen de tráfico, con gente de todo el mundo que quiere visitar el estadio más grande de Europa.
- 
- ",52000,41.385956,2.126728
055081,Barcelona,,Pº Gracia 87,,280000,14470.58,294470.58,224470.58,11272,32.76,17,556.92,"Ramon, Silvia",11/01/2019,06/30/2020,Inactivo,"- Este Gran Formato posee una ubicación privilegiada en el distrito de Gracia, una de las calles comerciales más famosas de Barcelona, con un elegante estilo, similar a los Campos Elíseos de París. En la intersección del tráfico de Provença y el de Paseo de Gracia hacia Plaza Cataluña, este sitio único garantiza el impacto sobre los vehículos. Pero especialmente se caracteriza por su influencia peatonal, ya que a pocos metros se encuentran las tiendas de moda más lujosas de la ciudad, que atraen a una audiencia de alto poder adquisitivo, como Michael Kors, Dior y Hugo Boss, entre otros. Esta avenida es también zona de negocios y un lugar popular entre los turistas, pues consta de un valor patrimonial excepcional de arquitectura modernista, como la Casa Batlló o La Pedrera. Este blowUP es muy visible tanto de día como de noche, con animada vida nocturna, restaurantes y bares que atraen tanto a público joven como adulto.
- ",159500,41.394454,2.161680
054821,Barcelona,,Rambla Catalunya 61 / Aragó,,350000,31764.7,381764.7,294264.7,11272,48,27,1296,"Ramon, Silvia",05/01/2019,12/31/2019,Inactivo,"- Magnífica y espectacular zona, este emplazamiento está situado en el cruce de dos de las calles más importantes de Barcelona que garantizan un alto tráfico durante todo el día. Especialmente durante las horas punta, por aquí pasa un gran número de peatones y coches, ya que la calle es salida directa de la ciudad y paso hacia el Aeropuerto. Esta llamativa lona impresionará por su tamaño a gran escala y es visible para los 5 carriles de tráfico de vehículos de la calle Aragón. La Universidad y las famosas tiendas de moda como Calzedonia, Zara, Intimissimi o Levi's atraen a un grupo objetivo joven y afín a la marca. En las inmediaciones se encuentra el famoso Paseo de Gracia, donde se encuentran algunas de las tiendas más lujosas de la ciudad, que también atraerá al atractivo público de clase alta, con tiendas como Calvin Klein, Chanel y Versacce. Una variedad de restaurantes y el encanto histórico de esta zona animan el paisaje de la ciudad.
- 
- ",222300,41.390744,2.163421
054231,Barcelona,,Ramblas 134 / Pl. Catalunya,,140000,15764.7,155764.7,120764.7,11272,34,16,544,"Ramon, Silvia",03/01/2019,06/22/2020,Inactivo,"- Poco se puede añadir al hablar de esta localización ya que es internacionalmente conocida. Zona muy bulliciosa tanto de día como de noche, llena de turistas y lugareños que buscan pasear por la Rambla, observando las estatuas animadas que en ella se encuentran, o comprando algún recuerdo en los diferentes puntos de venta callejeros. Visible las 24 horas del día desde la Plaza Cataluña, por ser paso hacia la Puerta del Angel, la Barcelona más antigua, rodeada de Iglesias góticas como La Catedral,  tiendas variopintas que atraen a jóvenes y adultos de todas las clases y gustos, como Mango, H&M o Desigual, restaurantes y Mercados convertidos en pequeños puntos de degustación. Es una localización envidiable ya que reúne a un porcentaje muy elevado de turismo todas las estaciones del año. En calle privilegiada rodeada también de Palacios y Museos como el de Picasso y muy congestionada en cuanto a tráfico rodado.",290000,41.384916,2.170794
